,collocate,raw_frequency,MI
116,by,54906,1.5707326378739626
117,nominal,40,3.3702810774220566
118,family,4141,1.7262002215444168
119,me,71765,1.1510079190942593
120,had,130329,1.741247684248706
121,wiped,215,2.381669683968276
122,who,35600,2.025796986362181
123,are,33103,0.6407653864010784
124,thanked,341,2.6135724153723667
125,old,20025,1.8083841097569566
126,could,34170,1.0267764336909087
127,in,220766,1.1344244724149128
128,eyes,15110,0.7318853422735369
129,sanctioned,47,4.307625218494044
130,long,13994,0.557299023953574
131,calm,1250,1.026873989907756
132,an,40487,0.6551169370142136
133,am,17832,1.0316107721638508
134,dearly,202,2.8495051228028982
135,saw,10308,1.668632561473796
136,tripping,55,3.051827346303522
137,papa,1390,2.1246865984053014
138,knowing,1593,1.7652277633057805
139,character,2228,2.0583511315910283
140,sentence,570,1.4066713512673426
141,both,6343,1.9416395696284816
142,lover,1212,1.7508928341347885
143,watched,1643,1.8521059908349442
144,daughter,3394,2.9367292709742925
145,stead,177,1.8830107989621638
146,abbott,177,1.8830107989621638
147,harriet,657,1.264623693611328
148,met,3029,1.9876116996751962
149,chamounix,3,5.960548242867883
150,amiable,321,2.386331697074087
151,would,48107,1.6670492857015955
152,say,18604,1.5587619814783364
153,people,9427,0.3057226129382132
154,two,15859,0.0957182911396023
155,miss,12555,0.7993400902922533
156,dentist,51,3.8204820793716125
157,gino,144,2.0893472319599926
158,courtesy,253,1.525771042808473
159,tell,11630,1.6868013325875573
160,impossible,1676,0.7336075391620744
161,complained,124,2.2388789659309563
162,become,2672,1.11448814593477
163,calls,467,2.522269186301196
164,real,2127,1.4761342580155918
165,new,7036,-0.19019666188735537
166,philip,1950,1.968482529766201
167,started,1466,1.7147777981447094
168,loving,710,2.7964806544946774
169,our,16603,1.8956987422287475
170,white,6358,0.4989159674014645
171,makes,1713,1.5590691822671865
172,them,32587,0.4051614350017964
173,thinks,937,2.1623873983528843
174,porky,1,7.059160531535993
175,wants,1237,2.503665516605042
176,here,16000,1.0164026900404606
177,own,18575,2.0087121550615628
178,whose,4753,2.5999624401544543
179,tricks,208,2.4147696323946204
180,no,48713,1.207101740245134
181,do,33990,0.8300315082367975
182,trouble,2501,0.6210089617782646
183,loves,632,2.807495714725355
184,kneeling,307,2.4309250726169056
185,forget,1675,1.5815022363321396
186,stopping,407,2.148959634761508
187,breast,1335,2.501531290316902
188,man,30867,0.5718652022021318
